first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1055,33.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,854,35.0,0.0
2020-03-15,2020-03-21,20-24,זכר,684,100.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,616,35.0,0.0
2020-03-15,2020-03-21,25-29,זכר,586,52.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,719,46.0,0.0
2020-03-15,2020-03-21,30-34,זכר,616,54.0,0.0
2020-03-15,2020-03-21,30-34,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,684,35.0,0.0
2020-03-15,2020-03-21,35-39,זכר,535,47.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,517,25.0,0.0
2020-03-15,2020-03-21,40-44,זכר,411,32.0,0.0
2020-03-15,2020-03-21,40-44,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,444,15.0,0.0
2020-03-15,2020-03-21,45-49,זכר,338,35.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,395,<15,0.0
2020-03-15,2020-03-21,50-54,זכר,277,30.0,0.0
2020-03-15,2020-03-21,50-54,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,382,23.0,0.0
2020-03-15,2020-03-21,55-59,זכר,200,26.0,0.0
2020-03-15,2020-03-21,55-59,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,338,24.0,0.0
2020-03-15,2020-03-21,60-64,זכר,228,19.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,300,23.0,0.0
2020-03-15,2020-03-21,65-69,זכר,265,33.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,228,<15,0.0
2020-03-15,2020-03-21,70-74,זכר,199,26.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,154,16.0,0.0
2020-03-15,2020-03-21,75-79,זכר,118,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,91,<15,0.0
2020-03-15,2020-03-21,80+,זכר,191,<15,<15
2020-03-15,2020-03-21,80+,נקבה,232,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,228,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,46,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,229,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2354,177.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,26,<15,0.0
