סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2620 ,קרית אונו ,52 ,רמת גן ,52 ,רמת גן ,0 , ,42293 ,2998 ,9521 ,12864 ,5956 ,3368 ,7586
2630 ,קרית גת ,61 ,אשקלון ,61 ,אשקלון ,0 , ,64680 ,7451 ,13082 ,23206 ,5905 ,5715 ,9321
2640 ,ראש העין ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,69874 ,9057 ,14023 ,27225 ,6905 ,6242 ,6422
2650 ,רמת השרון ,51 ,תל אביב ,57 ,הרצליה ,0 , ,51928 ,3405 ,10472 ,14566 ,7594 ,4535 ,11356
2660 ,יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,52300 ,5957 ,11351 ,19169 ,5055 ,4003 ,6765
2710 ,אום אל-פחם ,32 ,חדרה ,23 ,עפולה ,0 , ,57504 ,5841 ,15041 ,23930 ,6244 ,3633 ,2815
2720 ,טירה ,41 ,השרון ,41 ,נתניה ,0 , ,27603 ,2449 ,6127 ,11666 ,3066 ,2189 ,2106
2730 ,טייבה ,41 ,השרון ,41 ,נתניה ,0 , ,45455 ,4272 ,11593 ,18345 ,5079 ,3306 ,2860
2742 ,זבארגה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,18 ,0 ,0 ,1 ,13 ,3 ,1
2800 ,קרית שמונה ,21 ,צפת ,21 ,צפת ,0 , ,24246 ,1741 ,4139 ,8755 ,2856 ,2763 ,3992
3000 ,ירושלים ,11 ,ירושלים ,11 ,ירושלים ,0 , ,1028598 ,122597 ,259691 ,369396 ,89304 ,69923 ,117687
3400 ,חברון ,77 ,חברון ,11 ,ירושלים ,0 , ,568 ,75 ,186 ,217 ,33 ,33 ,24
3488 ,כפר עציון ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,909 ,108 ,307 ,288 ,87 ,31 ,88
3555 ,נתיב הגדוד ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,236 ,27 ,48 ,92 ,15 ,15 ,39
3556 ,אלמוג ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,302 ,30 ,79 ,118 ,38 ,29 ,8
3557 ,קדומים ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,4803 ,582 ,1576 ,1642 ,353 ,213 ,437
3558 ,תומר ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,363 ,43 ,66 ,153 ,10 ,37 ,54
3560 ,אלקנה ,73 ,טול כרם ,42 ,פתח תקוה ,0 , ,4092 ,474 ,1007 ,1433 ,350 ,254 ,574
3561 ,מגדל עוז ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,431 ,66 ,95 ,192 ,42 ,28 ,8
3563 ,תקוע ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,4532 ,665 ,1604 ,1584 ,279 ,161 ,239
3564 ,כוכב השחר ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2667 ,426 ,963 ,921 ,143 ,139 ,75
3565 ,רימונים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,771 ,92 ,156 ,306 ,92 ,61 ,64
3566 ,יפית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,269 ,31 ,72 ,90 ,31 ,12 ,33
3567 ,סלעית ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,1476 ,179 ,498 ,470 ,176 ,64 ,89
3568 ,ריחן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,385 ,55 ,101 ,139 ,44 ,28 ,18
3569 ,מבוא דותן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,561 ,102 ,165 ,199 ,37 ,15 ,43
3570 ,אריאל ,73 ,טול כרם ,48 ,אריאל ,0 , ,20460 ,1557 ,3679 ,7298 ,2477 ,2263 ,3186
3571 ,שבי שומרון ,72 ,שכם ,41 ,נתניה ,72 ,שומרון ,1097 ,186 ,338 ,377 ,61 ,44 ,91
3572 ,כפר תפוח ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1444 ,278 ,497 ,518 ,60 ,30 ,61
3573 ,נוה צוף ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1268 ,143 ,368 ,458 ,98 ,73 ,128
3574 ,בית אל ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,5962 ,813 ,1742 ,2233 ,446 ,328 ,400
3575 ,בית חורון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1524 ,201 ,464 ,545 ,130 ,82 ,102
3576 ,מצפה יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,73 ,מטה בנימין ,2537 ,396 ,801 ,966 ,139 ,110 ,125
3578 ,שדמות מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,790 ,110 ,264 ,293 ,45 ,39 ,39
3579 ,אלון מורה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1962 ,395 ,616 ,716 ,55 ,73 ,107
3598 ,ארגמן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,160 ,11 ,27 ,59 ,11 ,21 ,31
3599 ,מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,660 ,95 ,215 ,222 ,47 ,14 ,67
3601 ,קליה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,468 ,47 ,92 ,178 ,49 ,59 ,43
3602 ,ראש צורים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1026 ,121 ,409 ,362 ,77 ,27 ,30
3603 ,הר גילה ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1669 ,138 ,506 ,563 ,205 ,129 ,128
3604 ,אלון שבות ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3490 ,358 ,907 ,1298 ,377 ,196 ,354
3605 ,משואה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,236 ,20 ,59 ,79 ,30 ,4 ,44
3606 ,גלגל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,212 ,20 ,28 ,94 ,14 ,41 ,15
3607 ,ייט"ב ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,348 ,57 ,96 ,128 ,24 ,22 ,21
3608 ,מעלה אפרים ,75 ,ירדן )יריחו( ,23 ,עפולה ,0 , ,1655 ,167 ,372 ,565 ,156 ,160 ,235
3609 ,חמרה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,203 ,22 ,44 ,68 ,30 ,3 ,36
3610 ,מצפה שלם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,229 ,18 ,36 ,89 ,31 ,46 ,9
3611 ,קרית ארבע ,77 ,חברון ,11 ,ירושלים ,0 , ,8119 ,1025 ,2124 ,2999 ,572 ,535 ,864
3612 ,בקעות ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,225 ,20 ,62 ,64 ,36 ,8 ,35
3613 ,גיתית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,560 ,75 ,241 ,175 ,25 ,15 ,29
3614 ,מכורה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,213 ,18 ,56 ,70 ,26 ,9 ,34
3615 ,פצאל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,376 ,56 ,75 ,136 ,27 ,16 ,66
3616 ,מעלה אדומים ,76 ,בית לחם ,11 ,ירושלים ,0 , ,40901 ,3494 ,8973 ,15101 ,4812 ,3812 ,4709
3617 ,עופרה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3283 ,334 ,991 ,1220 ,334 ,197 ,207
3618 ,אלעזר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2633 ,259 ,887 ,901 ,326 ,116 ,144
3619 ,רועי ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,167 ,8 ,28 ,60 ,19 ,21 ,31
3620 ,נערן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,115 ,18 ,23 ,60 ,5 ,5 ,4
3638 ,כפר אדומים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,4740 ,549 ,1552 ,1683 ,499 ,262 ,195
3639 ,ורד יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,411 ,37 ,123 ,150 ,44 ,25 ,32
3640 ,קרני שומרון ,73 ,טול כרם ,48 ,אריאל ,0 , ,10284 ,1391 ,2589 ,3832 ,731 ,765 ,976
3641 ,שילה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,4809 ,915 ,1813 ,1612 ,199 ,124 ,146
3643 ,חיננית ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1639 ,203 ,581 ,596 ,128 ,91 ,40
3644 ,גבעון החדשה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1293 ,114 ,172 ,516 ,167 ,148 ,176
3645 ,בית הערבה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,408 ,84 ,119 ,166 ,35 ,1 ,3
3646 ,חמדת ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,298 ,50 ,117 ,102 ,27 ,2 ,0
3647 ,יקיר ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2601 ,387 ,937 ,906 ,191 ,76 ,104
3648 ,מתתיהו ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,913 ,106 ,297 ,328 ,76 ,39 ,67
3649 ,שקד ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1026 ,133 ,281 ,376 ,98 ,59 ,79
3650 ,אפרת ,76 ,בית לחם ,11 ,ירושלים ,0 , ,12964 ,1547 ,3761 ,4781 ,960 ,871 ,1044
3651 ,מעלה מכמש ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1844 ,222 ,635 ,668 ,170 ,87 ,62
3652 ,בית אריה ,74 ,ראמאללה ,43 ,רמלה ,0 , ,5605 ,458 ,1409 ,2020 ,801 ,460 ,457
3653 ,מעלה עמוס ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,897 ,224 ,282 ,324 ,19 ,30 ,18
3654 ,ברקן ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2086 ,181 ,487 ,734 ,337 ,145 ,202
3655 ,ניל"י ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,1940 ,168 ,579 ,667 ,273 ,153 ,100
3656 ,כרמל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,531 ,87 ,167 ,195 ,34 ,34 ,14
3657 ,מעון ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,633 ,107 ,232 ,233 ,22 ,36 ,3
3658 ,עטרת ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,691 ,102 ,284 ,222 ,36 ,41 ,6
3659 ,פסגות ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2181 ,385 ,758 ,747 ,121 ,93 ,77
3660 ,עמנואל ,73 ,טול כרם ,48 ,אריאל ,0 , ,4672 ,916 ,1387 ,1634 ,251 ,245 ,239
3709 ,מבוא חורון ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2667 ,363 ,1121 ,854 ,197 ,47 ,85
3710 ,ברכה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,2902 ,560 ,1114 ,980 ,117 ,64 ,67
3712 ,ענב ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,1030 ,173 ,335 ,363 ,45 ,47 ,67
3713 ,נעמ"ה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,207 ,36 ,23 ,96 ,5 ,34 ,13
3715 ,עלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1545 ,141 ,386 ,603 ,177 ,121 ,117
3717 ,חרמש ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,289 ,15 ,60 ,93 ,38 ,44 ,39
3719 ,תלם ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,495 ,98 ,184 ,161 ,28 ,20 ,4
3720 ,שערי תקווה ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,6009 ,513 ,1564 ,2131 ,716 ,477 ,608
3722 ,אשכולות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,588 ,54 ,177 ,219 ,83 ,33 ,22
3723 ,פני חבר ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,552 ,100 ,210 ,170 ,43 ,20 ,9
3724 ,נגוהות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,395 ,71 ,168 ,128 ,25 ,3 ,0
3725 ,נווה דניאל ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2666 ,261 ,831 ,982 ,282 ,163 ,147
3726 ,נוקדים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2467 ,470 ,704 ,922 ,191 ,84 ,96
3727 ,עלי זהב ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,4313 ,985 ,1527 ,1572 ,118 ,59 ,52
3730 ,גבעת זאב ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,20847 ,3105 ,5812 ,7477 ,1406 ,1305 ,1742
3743 ,טנא ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,1058 ,186 ,344 ,372 ,72 ,49 ,35
3744 ,ברוכין ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1537 ,327 ,638 ,521 ,41 ,4 ,6
3745 ,מצדות יהודה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,649 ,121 ,176 ,251 ,24 ,43 ,34
3746 ,קרית נטפים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,927 ,153 ,345 ,319 ,67 ,21 ,22
3747 ,דולב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1578 ,224 ,479 ,610 ,106 ,106 ,53
3748 ,עתניאל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,904 ,129 ,308 ,351 ,54 ,40 ,22
3749 ,יצהר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1938 ,465 ,736 ,634 ,64 ,27 ,12
3750 ,אלפי מנשה ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,8634 ,573 ,2133 ,2953 ,1321 ,712 ,942
3751 ,מגדלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,517 ,125 ,120 ,209 ,27 ,19 ,17
3752 ,מעלה לבונה ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין ,770 ,130 ,216 ,280 ,58 ,41 ,45
3754 ,אספר ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,997 ,227 ,365 ,345 ,20 ,21 ,19
3756 ,סוסיה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,1398 ,230 ,460 ,530 ,68 ,81 ,29
3759 ,אדורה ,77 ,חברון ,13 ,בית שמש ,78 ,הר חברון ,490 ,71 ,178 ,165 ,30 ,29 ,17
3760 ,אורנית ,73 ,טול כרם ,42 ,פתח תקוה ,0 , ,9721 ,711 ,2544 ,3303 ,1371 ,847 ,945
3762 ,איתמר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1331 ,237 ,487 ,455 ,66 ,50 ,36
3763 ,גבע בנימין ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5878 ,670 ,1850 ,2143 ,567 ,368 ,280
3764 ,חגי ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,753 ,126 ,272 ,280 ,35 ,36 ,4
3765 ,עלי ,72 ,שכם ,48 ,אריאל ,73 ,מטה בנימין ,4411 ,784 ,1380 ,1646 ,296 ,149 ,156
3766 ,כרמי צור ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1154 ,161 ,437 ,404 ,85 ,50 ,17
3767 ,נחליאל ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,775 ,145 ,292 ,263 ,26 ,27 ,22
