VaccinationDate,age_group,first_dose,second_dose
2020-12-20,20-29,343,0
2020-12-20,0-19,<15,0
2020-12-20,80-89,94,0
2020-12-20,60-69,1568,0
2020-12-20,50-59,1827,0
2020-12-20,90+,<15,0
2020-12-20,70-79,523,0
2020-12-20,40-49,1817,0
2020-12-20,30-39,1172,0
2020-12-21,20-29,954,0
2020-12-21,0-19,47,0
2020-12-21,50-59,3705,0
2020-12-21,70-79,5159,0
2020-12-21,30-39,2717,0
2020-12-21,90+,178,0
2020-12-21,40-49,3751,0
2020-12-21,60-69,7109,0
2020-12-21,80-89,1251,0
2020-12-22,0-19,78,0
2020-12-22,20-29,1444,0
2020-12-22,80-89,3670,0
2020-12-22,90+,511,0
2020-12-22,70-79,12355,0
2020-12-22,30-39,3556,0
2020-12-22,60-69,13898,0
2020-12-22,40-49,4503,0
2020-12-22,50-59,4588,0
2020-12-23,30-39,3796,0
2020-12-23,90+,1137,0
2020-12-23,70-79,18896,0
2020-12-23,40-49,4947,0
2020-12-23,20-29,1963,0
2020-12-23,0-19,131,0
2020-12-23,80-89,5923,0
2020-12-23,60-69,20694,0
2020-12-23,50-59,5312,0
2020-12-24,0-19,156,0
2020-12-24,40-49,5123,0
2020-12-24,80-89,8025,0
2020-12-24,90+,1485,0
2020-12-24,60-69,24544,0
2020-12-24,30-39,3703,0
2020-12-24,70-79,22739,0
2020-12-24,50-59,5565,0
2020-12-24,20-29,1954,0
2020-12-25,40-49,2199,0
2020-12-25,90+,851,0
2020-12-25,80-89,4722,0
2020-12-25,0-19,107,0
2020-12-25,20-29,722,0
2020-12-25,70-79,12811,0
2020-12-25,60-69,12806,0
2020-12-25,30-39,1333,0
2020-12-25,50-59,2877,0
2020-12-26,90+,775,0
2020-12-26,70-79,11088,0
2020-12-26,40-49,1623,0
2020-12-26,30-39,934,0
2020-12-26,50-59,2355,0
2020-12-26,60-69,11345,0
2020-12-26,20-29,465,0
2020-12-26,0-19,75,0
2020-12-26,80-89,3892,0
2020-12-27,50-59,9855,0
2020-12-27,30-39,5841,0
2020-12-27,70-79,29735,0
2020-12-27,40-49,8267,0
2020-12-27,90+,2602,0
2020-12-27,60-69,31780,0
2020-12-27,80-89,12295,0
2020-12-27,20-29,3457,0
2020-12-27,0-19,396,0
2020-12-28,60-69,38791,0
2020-12-28,40-49,13182,0
2020-12-28,30-39,9286,0
2020-12-28,70-79,34307,0
2020-12-28,90+,2848,0
2020-12-28,80-89,14165,0
2020-12-28,50-59,14560,0
2020-12-28,20-29,6679,0
2020-12-28,0-19,847,0
2020-12-29,50-59,18243,0
2020-12-29,40-49,15970,0
2020-12-29,60-69,42941,0
2020-12-29,90+,4720,0
2020-12-29,30-39,11148,0
2020-12-29,70-79,37263,0
2020-12-29,20-29,7526,0
2020-12-29,0-19,1037,0
2020-12-29,80-89,16917,0
2020-12-30,50-59,20548,0
2020-12-30,0-19,1102,0
2020-12-30,20-29,8116,0
2020-12-30,70-79,34273,0
2020-12-30,40-49,15801,0
2020-12-30,80-89,15892,0
2020-12-30,30-39,11305,0
2020-12-30,90+,4217,0
2020-12-30,60-69,41292,0
2020-12-31,20-29,9535,0
2020-12-31,50-59,26189,0
2020-12-31,30-39,13418,0
2020-12-31,70-79,30813,0
2020-12-31,40-49,18859,0
2020-12-31,60-69,38760,0
2020-12-31,0-19,1371,0
2020-12-31,90+,4056,0
2020-12-31,80-89,14955,0
2021-01-01,60-69,17723,0
2021-01-01,40-49,9185,0
2021-01-01,80-89,6299,0
2021-01-01,0-19,704,0
2021-01-01,20-29,3213,0
2021-01-01,90+,1598,0
2021-01-01,50-59,13896,0
2021-01-01,30-39,5560,0
2021-01-01,70-79,12974,0
2021-01-02,80-89,5564,0
2021-01-02,0-19,754,0
2021-01-02,50-59,18134,0
2021-01-02,30-39,5403,0
2021-01-02,20-29,3240,0
2021-01-02,60-69,14721,0
2021-01-02,40-49,11256,0
2021-01-02,90+,1756,0
2021-01-02,70-79,10709,0
2021-01-03,20-29,9785,0
2021-01-03,0-19,1637,0
2021-01-03,90+,3227,0
2021-01-03,80-89,13304,0
2021-01-03,30-39,12313,0
2021-01-03,70-79,26650,0
2021-01-03,40-49,18831,0
2021-01-03,50-59,27987,0
2021-01-03,60-69,35513,0
2021-01-04,0-19,1630,0
2021-01-04,80-89,12437,0
2021-01-04,70-79,24222,0
2021-01-04,30-39,13688,0
2021-01-04,20-29,11402,0
2021-01-04,50-59,30661,0
2021-01-04,60-69,32424,0
2021-01-04,40-49,22340,0
2021-01-04,90+,2881,0
2021-01-05,0-19,1358,0
2021-01-05,80-89,10698,0
2021-01-05,20-29,8728,0
2021-01-05,90+,2479,0
2021-01-05,70-79,21338,0
2021-01-05,40-49,17010,0
2021-01-05,30-39,10748,0
2021-01-05,60-69,29086,0
2021-01-05,50-59,23239,0
2021-01-06,90+,2275,0
2021-01-06,80-89,9037,0
2021-01-06,40-49,13466,0
2021-01-06,60-69,24536,0
2021-01-06,20-29,8092,0
