VaccinationDate,age_group,first_dose,second_dose
2021-01-06,0-19,1152,0
2021-01-06,50-59,18421,0
2021-01-06,70-79,17104,0
2021-01-06,30-39,8813,0
2021-01-07,70-79,15937,0
2021-01-07,40-49,18728,0
2021-01-07,60-69,23947,0
2021-01-07,30-39,11590,0
2021-01-07,90+,1883,0
2021-01-07,80-89,8173,0
2021-01-07,0-19,1466,0
2021-01-07,50-59,25106,0
2021-01-07,20-29,8805,0
2021-01-08,50-59,14810,0
2021-01-08,90+,656,0
2021-01-08,40-49,15905,0
2021-01-08,70-79,6024,0
2021-01-08,30-39,8709,0
2021-01-08,0-19,1760,0
2021-01-08,80-89,2869,0
2021-01-08,20-29,5563,0
2021-01-08,60-69,9908,0
2021-01-09,80-89,1581,0
2021-01-09,30-39,6600,0
2021-01-09,70-79,3359,0
2021-01-09,60-69,5538,0
2021-01-09,40-49,12664,0
2021-01-09,90+,360,0
2021-01-09,50-59,10039,0
2021-01-09,20-29,3330,0
2021-01-09,0-19,935,0
2021-01-10,40-49,9070,1530
2021-01-10,30-39,5653,950
2021-01-10,70-79,3564,361
2021-01-10,60-69,5670,1247
2021-01-10,90+,384,<15
2021-01-10,20-29,3144,265
2021-01-10,80-89,1796,46
2021-01-10,0-19,619,<15
2021-01-10,50-59,7581,1573
2021-01-11,50-59,5113,3021
2021-01-11,60-69,2647,5471
2021-01-11,20-29,1739,739
2021-01-11,40-49,5208,2930
2021-01-11,90+,212,136
2021-01-11,70-79,1717,3827
2021-01-11,30-39,3216,2130
2021-01-11,80-89,906,936
2021-01-11,0-19,224,34
2021-01-12,50-59,7575,3926
2021-01-12,20-29,2421,1203
2021-01-12,80-89,894,2814
2021-01-12,0-19,234,66
2021-01-12,30-39,2859,2989
2021-01-12,70-79,1828,9373
2021-01-12,90+,192,391
2021-01-12,40-49,4363,3929
2021-01-12,60-69,3462,10929
2021-01-13,20-29,3838,1770
2021-01-13,50-59,22867,5026
2021-01-13,0-19,494,109
2021-01-13,70-79,3233,16953
2021-01-13,40-49,7822,4744
2021-01-13,30-39,5001,3590
2021-01-13,60-69,6768,18409
2021-01-13,90+,256,1011
2021-01-13,80-89,1546,5170
2021-01-14,0-19,774,138
2021-01-14,80-89,1117,7180
2021-01-14,30-39,7088,3686
2021-01-14,20-29,5531,1836
2021-01-14,90+,221,1303
2021-01-14,70-79,2478,21068
2021-01-14,50-59,23244,5376
2021-01-14,40-49,10074,5057
2021-01-14,60-69,5684,23076
2021-01-15,20-29,3152,695
2021-01-15,80-89,560,4353
2021-01-15,0-19,546,99
2021-01-15,50-59,11788,2616
2021-01-15,40-49,5851,1978
2021-01-15,90+,118,752
2021-01-15,60-69,2677,12167
2021-01-15,30-39,4636,1255
2021-01-15,70-79,1225,11945
2021-01-16,20-29,2068,316
2021-01-16,0-19,449,55
2021-01-16,40-49,7875,1235
2021-01-16,70-79,779,8979
2021-01-16,30-39,3307,680
2021-01-16,90+,78,634
2021-01-16,80-89,364,3114
2021-01-16,60-69,1864,9178
2021-01-16,50-59,12538,1768
2021-01-17,90+,204,1929
2021-01-17,20-29,11305,2483
2021-01-17,70-79,2374,25553
2021-01-17,30-39,6662,4430
2021-01-17,0-19,1523,254
2021-01-17,80-89,1073,10001
2021-01-17,60-69,4810,26154
2021-01-17,40-49,17474,6233
2021-01-17,50-59,22784,7307
2021-01-18,20-29,16625,4637
2021-01-18,80-89,892,12961
2021-01-18,90+,158,2744
2021-01-18,60-69,4183,35344
2021-01-18,40-49,19462,11322
2021-01-18,30-39,7205,7937
2021-01-18,70-79,2010,31973
2021-01-18,50-59,17001,12643
2021-01-18,0-19,1952,553
2021-01-19,70-79,2028,34007
2021-01-19,40-49,24401,13479
2021-01-19,30-39,8925,9275
2021-01-19,60-69,4112,38345
2021-01-19,90+,216,4135
2021-01-19,80-89,882,15428
2021-01-19,0-19,1740,800
2021-01-19,20-29,15015,6658
2021-01-19,50-59,15230,15276
2021-01-20,90+,154,3650
2021-01-20,70-79,1860,33333
2021-01-20,30-39,12281,10491
2021-01-20,40-49,29118,14539
2021-01-20,60-69,3846,39372
2021-01-20,50-59,13869,18288
2021-01-20,0-19,1872,968
2021-01-20,80-89,834,14753
2021-01-20,20-29,12666,7900
2021-01-21,50-59,11832,25076
2021-01-21,60-69,4032,41669
2021-01-21,90+,225,4281
2021-01-21,30-39,13216,13165
2021-01-21,40-49,25745,18466
2021-01-21,70-79,2102,34109
2021-01-21,20-29,9660,9586
2021-01-21,0-19,1749,1328
2021-01-21,80-89,1000,16123
2021-01-22,70-79,953,14137
2021-01-22,40-49,15394,8494
2021-01-22,30-39,7774,5330
2021-01-22,60-69,2179,18570
2021-01-22,50-59,5912,12584
2021-01-22,20-29,3761,2964
2021-01-22,0-19,1098,653
2021-01-22,90+,123,1612
2021-01-22,80-89,503,6524
2021-01-23,50-59,6343,11141
2021-01-23,70-79,828,9726
2021-01-23,40-49,14402,7250
2021-01-23,60-69,1658,12499
2021-01-23,0-19,6489,437
2021-01-23,20-29,3448,2101
2021-01-23,80-89,399,5050
2021-01-23,30-39,6151,3641
2021-01-23,90+,108,1592
2021-01-24,60-69,3770,33432
2021-01-24,50-59,8950,26411
2021-01-24,20-29,12022,8593
2021-01-24,0-19,10752,1413
2021-01-24,80-89,1010,12836
2021-01-24,90+,236,3217
2021-01-24,40-49,19787,17612
2021-01-24,30-39,10349,11387
2021-01-24,70-79,2031,25367
2021-01-25,20-29,16517,9268
2021-01-25,50-59,9908,28013
2021-01-25,0-19,13127,1432
2021-01-25,70-79,2161,23422
2021-01-25,80-89,1017,12104
2021-01-25,60-69,4032,30496
2021-01-25,30-39,13189,12014
2021-01-25,90+,262,2766
2021-01-25,40-49,20487,19583
2021-01-26,80-89,950,10657
2021-01-26,20-29,16507,8319
2021-01-26,0-19,12888,1392
2021-01-26,50-59,8756,24818
2021-01-26,90+,247,2389
2021-01-26,30-39,13936,10963
2021-01-26,70-79,1993,21038
2021-01-26,40-49,19547,17876
2021-01-26,60-69,3639,28529
2021-01-27,20-29,15203,10413
2021-01-27,0-19,14323,1521
2021-01-27,80-89,870,10257
2021-01-27,60-69,3377,28444
2021-01-27,50-59,8716,23366
2021-01-27,90+,239,2429
2021-01-27,40-49,19731,17206
2021-01-27,70-79,1770,20113
2021-01-27,30-39,13439,10881
2021-01-28,20-29,16173,9976
2021-01-28,0-19,12474,1616
2021-01-28,80-89,676,9136
2021-01-28,90+,181,2058
2021-01-28,40-49,17581,20589
2021-01-28,60-69,3084,27899
2021-01-28,30-39,19718,12706
2021-01-28,70-79,1570,18780
2021-01-28,50-59,7911,27462
2021-01-29,90+,44,662
2021-01-29,80-89,262,3247
2021-01-29,0-19,5399,1461
2021-01-29,20-29,5881,4794
2021-01-29,50-59,3634,14334
2021-01-29,30-39,10336,7580
2021-01-29,40-49,9103,13938
2021-01-29,70-79,541,7144
2021-01-29,60-69,1303,11423
2021-01-30,20-29,5061,3032
2021-01-30,90+,33,425
2021-01-30,70-79,466,3959
2021-01-30,40-49,9118,10468
2021-01-30,30-39,10223,5629
2021-01-30,0-19,4794,826
2021-01-30,80-89,174,1845
2021-01-30,50-59,3365,9796
2021-01-30,60-69,1038,6666
2021-01-31,80-89,698,3619
2021-01-31,0-19,8640,912
2021-01-31,30-39,20915,7307
2021-01-31,70-79,1609,7208
2021-01-31,90+,175,780
2021-01-31,40-49,16856,12344
2021-01-31,60-69,3075,10865
2021-01-31,50-59,7503,12028
2021-01-31,20-29,13647,4245
2021-02-01,60-69,3164,5230
2021-02-01,90+,239,397
2021-02-01,80-89,872,1714
2021-02-01,0-19,8944,459
2021-02-01,20-29,20180,2975
2021-02-01,30-39,23492,4894
2021-02-01,70-79,1768,3474
2021-02-01,40-49,15620,8243
2021-02-01,50-59,7910,7808
2021-02-02,90+,255,310
2021-02-02,20-29,16140,2398
2021-02-02,30-39,19580,3844
2021-02-02,70-79,1736,2739
2021-02-02,50-59,6729,8687
2021-02-02,60-69,2986,4872
2021-02-02,40-49,13925,6252
2021-02-02,0-19,7542,361
2021-02-02,80-89,909,1438
2021-02-03,50-59,5867,21096
2021-02-03,30-39,16861,5052
2021-02-03,90+,248,322
2021-02-03,70-79,1598,3586
2021-02-03,60-69,2702,7124
2021-02-03,40-49,11112,7944
2021-02-03,80-89,896,1681
2021-02-03,20-29,15101,3946
2021-02-03,0-19,5644,475
2021-02-04,30-39,23495,7213
2021-02-04,50-59,5434,22625
2021-02-04,60-69,2369,6054
2021-02-04,90+,155,256
2021-02-04,40-49,10896,10155
2021-02-04,70-79,1204,2859
2021-02-04,20-29,22406,6352
2021-02-04,80-89,666,1309
2021-02-04,0-19,5720,1053
2021-02-05,60-69,1138,2808
2021-02-05,40-49,5416,5454
2021-02-05,50-59,2760,11385
2021-02-05,20-29,9659,2492
2021-02-05,0-19,2524,457
2021-02-05,80-89,249,584
2021-02-05,90+,79,120
2021-02-05,30-39,11382,4047
2021-02-05,70-79,551,1288
2021-02-06,0-19,1788,284
2021-02-06,50-59,1676,10171
2021-02-06,30-39,7072,2341
2021-02-06,60-69,586,1575
2021-02-06,20-29,6785,1496
2021-02-06,80-89,143,269
2021-02-06,40-49,3169,5280
2021-02-06,90+,35,58
2021-02-06,70-79,265,654
2021-02-07,20-29,16409,9637
2021-02-07,0-19,4189,1149
2021-02-07,50-59,4465,23821
2021-02-07,80-89,581,1193
2021-02-07,30-39,16781,7277
2021-02-07,60-69,2157,5062
2021-02-07,40-49,8008,17572
2021-02-07,70-79,1146,2540
2021-02-07,90+,172,243
2021-02-08,0-19,3850,1432
2021-02-08,80-89,578,926
2021-02-08,20-29,19517,13045
2021-02-08,50-59,4566,17376
2021-02-08,40-49,8011,18994
2021-02-08,60-69,2187,4256
2021-02-08,90+,139,177
2021-02-08,70-79,1150,2105
2021-02-08,30-39,18443,6852
2021-02-09,0-19,4429,1678
2021-02-09,80-89,637,863
2021-02-09,70-79,1285,2022
2021-02-09,20-29,22568,12797
2021-02-09,90+,213,193
2021-02-09,40-49,9293,22499
2021-02-09,60-69,2636,3988
2021-02-09,30-39,19436,8159
2021-02-09,50-59,5548,15028
2021-02-10,80-89,587,845
2021-02-10,90+,155,145
2021-02-10,20-29,23689,11212
2021-02-10,0-19,4779,1598
2021-02-10,50-59,5906,13964
2021-02-10,30-39,21016,11153
2021-02-10,40-49,10007,27214
2021-02-10,70-79,1345,1877
2021-02-10,60-69,2771,3888
2021-02-11,0-19,5679,1734
2021-02-11,20-29,26963,10547
2021-02-11,80-89,648,1021
2021-02-11,30-39,23575,13221
2021-02-11,90+,142,210
2021-02-11,60-69,3252,4069
2021-02-11,50-59,6953,12383
2021-02-11,40-49,12149,26141
2021-02-11,70-79,1451,2154
2021-02-12,30-39,11375,7573
2021-02-12,70-79,623,965
2021-02-12,90+,65,110
2021-02-12,40-49,6017,15093
2021-02-12,20-29,12704,3762
2021-02-12,80-89,285,484
2021-02-12,0-19,2780,1049
2021-02-12,60-69,1512,2192
2021-02-12,50-59,3551,6166
2021-02-13,80-89,170,286
2021-02-13,60-69,1052,1373
2021-02-13,90+,28,73
2021-02-13,40-49,4345,11483
2021-02-13,30-39,7471,4494
2021-02-13,70-79,396,639
2021-02-13,50-59,2696,5669
2021-02-13,20-29,8971,2355
2021-02-13,0-19,2237,3958
2021-02-14,70-79,1707,2079
2021-02-14,40-49,11870,21756
2021-02-14,60-69,3650,3788
2021-02-14,30-39,20223,11045
2021-02-14,90+,156,225
2021-02-14,20-29,23060,10522
2021-02-14,80-89,728,962
2021-02-14,0-19,6154,9019
2021-02-14,50-59,7092,9423
2021-02-15,50-59,8015,9821
2021-02-15,30-39,21794,12325
2021-02-15,70-79,1802,2195
2021-02-15,90+,211,294
2021-02-15,40-49,13022,20469
2021-02-15,60-69,3972,4151
2021-02-15,20-29,24890,13921
2021-02-15,0-19,6726,11198
2021-02-15,80-89,836,1050
2021-02-16,30-39,21730,13522
2021-02-16,50-59,7773,8778
2021-02-16,60-69,3939,3636
2021-02-16,90+,177,245
2021-02-16,40-49,12929,19075
2021-02-16,70-79,1875,1993
2021-02-16,20-29,26463,16783
2021-02-16,80-89,782,983
2021-02-16,0-19,7606,12970
2021-02-17,60-69,2456,3128
2021-02-17,30-39,16106,12655
2021-02-17,40-49,9956,18398
2021-02-17,70-79,1007,1646
2021-02-17,20-29,20605,16813
2021-02-17,0-19,5629,13574
2021-02-17,50-59,5532,8164
2021-02-17,90+,90,166
2021-02-17,80-89,376,725
2021-02-18,60-69,2976,3157
2021-02-18,50-59,6495,8229
2021-02-18,20-29,21799,15989
2021-02-18,40-49,11388,18152
2021-02-18,90+,70,150
2021-02-18,70-79,1073,1553
2021-02-18,30-39,18151,18371
2021-02-18,0-19,6592,13170
2021-02-18,80-89,404,653
2021-02-19,50-59,3641,3856
2021-02-19,20-29,12574,6142
2021-02-19,0-19,3817,5972
2021-02-19,80-89,186,268
2021-02-19,60-69,1545,1392
2021-02-19,30-39,10766,10092
2021-02-19,70-79,497,600
2021-02-19,40-49,6488,9587
2021-02-19,90+,29,55
2021-02-20,0-19,3505,4310
2021-02-20,20-29,10219,4000
2021-02-20,50-59,3030,3061
2021-02-20,40-49,5266,7900
2021-02-20,30-39,7724,7884
2021-02-20,70-79,448,405
2021-02-20,60-69,1182,900
2021-02-20,90+,29,22
2021-02-20,80-89,165,146
2021-02-21,80-89,788,844
2021-02-21,0-19,7755,9241
2021-02-21,90+,178,221
2021-02-21,20-29,23712,14653
2021-02-21,70-79,1887,1778
2021-02-21,30-39,20909,22130
2021-02-21,50-59,7463,7905
2021-02-21,60-69,3929,3341
2021-02-21,40-49,12649,18147
2021-02-22,80-89,911,895
2021-02-22,20-29,25226,18928
2021-02-22,0-19,7884,8451
2021-02-22,50-59,7830,7894
2021-02-22,40-49,13228,15826
2021-02-22,90+,212,252
2021-02-22,60-69,4300,3302
2021-02-22,70-79,2168,1804
2021-02-22,30-39,23078,22898
2021-02-23,20-29,23932,16615
2021-02-23,80-89,863,896
2021-02-23,0-19,7539,8142
2021-02-23,30-39,20008,19262
2021-02-23,60-69,3780,2964
2021-02-23,90+,164,239
2021-02-23,50-59,7138,6729
2021-02-23,40-49,11835,13567
2021-02-23,70-79,1897,1721
2021-02-24,30-39,15367,16969
2021-02-24,70-79,1629,1613
2021-02-24,90+,163,203
2021-02-24,0-19,6140,6637
2021-02-24,80-89,723,838
2021-02-24,20-29,18797,16466
2021-02-24,60-69,2982,2746
2021-02-24,40-49,9420,11338
2021-02-24,50-59,5620,5969
2021-02-25,20-29,15158,18031
2021-02-25,80-89,629,659
2021-02-25,40-49,8423,10609
2021-02-25,90+,146,173
2021-02-25,60-69,2724,2347
2021-02-25,30-39,13013,20800
2021-02-25,70-79,1247,1259
2021-02-25,50-59,5194,5509
2021-02-25,0-19,4942,5095
2021-02-26,70-79,544,542
2021-02-26,40-49,4338,5508
2021-02-26,30-39,6765,10549
2021-02-26,60-69,1209,1123
2021-02-26,80-89,289,246
2021-02-26,0-19,2407,2539
2021-02-26,90+,56,70
2021-02-26,20-29,7438,8510
2021-02-26,50-59,2657,2766
2021-02-27,90+,17,35
2021-02-27,40-49,2904,3239
2021-02-27,30-39,4214,6998
2021-02-27,70-79,346,270
2021-02-27,50-59,1778,1648
2021-02-27,60-69,769,580
2021-02-27,0-19,2275,1839
2021-02-27,80-89,145,126
2021-02-27,20-29,5794,6366
2021-02-28,60-69,2200,2135
2021-02-28,50-59,3967,4601
2021-02-28,40-49,6490,8842
2021-02-28,90+,98,175
2021-02-28,30-39,10061,17271
2021-02-28,70-79,1134,1157
2021-02-28,20-29,11333,16325
2021-02-28,0-19,4454,4511
2021-02-28,80-89,557,608
2021-03-01,70-79,1373,1177
2021-03-01,30-39,11301,19269
2021-03-01,60-69,2660,2252
2021-03-01,40-49,7225,8359
2021-03-01,0-19,4665,4449
2021-03-01,20-29,12956,20323
2021-03-01,50-59,4569,4612
2021-03-01,80-89,633,625
2021-03-01,90+,137,147
2021-03-02,50-59,4450,5212
2021-03-02,90+,126,231
2021-03-02,60-69,2834,2474
2021-03-02,40-49,6563,9212
2021-03-02,70-79,1468,1226
2021-03-02,80-89,586,651
2021-03-02,0-19,3905,4297
2021-03-02,20-29,11456,21803
2021-03-02,30-39,9590,19318
2021-03-03,60-69,2892,2715
2021-03-03,50-59,4547,5663
2021-03-03,20-29,11699,22495
2021-03-03,80-89,651,630
2021-03-03,0-19,4396,4526
2021-03-03,40-49,6637,9286
2021-03-03,90+,135,185
2021-03-03,30-39,9458,19620
2021-03-03,70-79,1570,1335
2021-03-04,20-29,10873,26126
2021-03-04,0-19,4118,5564
2021-03-04,70-79,1251,1441
2021-03-04,30-39,9126,23076
2021-03-04,50-59,4405,6813
2021-03-04,80-89,524,644
2021-03-04,40-49,6492,11753
2021-03-04,90+,110,146
2021-03-04,60-69,2608,3181
2021-03-05,80-89,208,269
2021-03-05,20-29,4708,13351
2021-03-05,0-19,1637,2767
2021-03-05,50-59,2008,3461
2021-03-05,90+,41,65
2021-03-05,60-69,1053,1521
2021-03-05,30-39,4044,11930
2021-03-05,70-79,497,634
2021-03-05,40-49,2993,6283
2021-03-06,20-29,3232,8187
2021-03-06,0-19,1355,1918
2021-03-06,80-89,75,153
2021-03-06,60-69,604,964
2021-03-06,50-59,1210,2533
2021-03-06,40-49,1737,3997
2021-03-06,90+,19,30
2021-03-06,30-39,2205,7102
2021-03-06,70-79,254,360
2021-03-07,20-29,8887,22825
2021-03-07,0-19,3537,5921
2021-03-07,80-89,536,688
2021-03-07,60-69,2026,3409
2021-03-07,40-49,4790,11247
2021-03-07,90+,141,139
2021-03-07,30-39,6756,20024
2021-03-07,70-79,1104,1643
2021-03-07,50-59,3217,6663
2021-03-08,80-89,428,790
2021-03-08,90+,109,213
2021-03-08,50-59,2795,7175
2021-03-08,0-19,3031,5836
2021-03-08,20-29,8218,22271
2021-03-08,40-49,4078,11584
2021-03-08,60-69,1668,3652
2021-03-08,30-39,6098,19681
2021-03-08,70-79,913,1690
2021-03-09,20-29,7784,23990
2021-03-09,90+,88,170
2021-03-09,30-39,5916,20085
2021-03-09,70-79,822,1748
2021-03-09,40-49,4087,11970
2021-03-09,0-19,3068,6803
2021-03-09,80-89,436,773
2021-03-09,50-59,2696,7203
2021-03-09,60-69,1695,3655
2021-03-10,80-89,342,426
2021-03-10,60-69,1290,2428
2021-03-10,90+,90,97
2021-03-10,70-79,725,1058
2021-03-10,40-49,3510,9156
2021-03-10,30-39,4921,15066
2021-03-10,0-19,3139,5342
2021-03-10,50-59,2203,5228
2021-03-10,20-29,6854,19641
2021-03-11,60-69,1332,2950
2021-03-11,70-79,608,1094
2021-03-11,40-49,3611,11457
2021-03-11,80-89,321,410
2021-03-11,90+,77,63
2021-03-11,30-39,5307,18547
2021-03-11,50-59,2235,6433
2021-03-11,20-29,6766,21528
2021-03-11,0-19,2824,6333
2021-03-12,50-59,1040,3914
2021-03-12,40-49,1785,6892
2021-03-12,60-69,575,1566
2021-03-12,30-39,2583,11453
2021-03-12,70-79,267,492
2021-03-12,90+,27,24
2021-03-12,80-89,115,184
2021-03-12,20-29,3397,12975
2021-03-12,0-19,1320,3761
2021-03-13,50-59,738,2410
2021-03-13,90+,<15,26
2021-03-13,60-69,338,956
2021-03-13,30-39,1704,6168
2021-03-13,40-49,1296,4137
2021-03-13,70-79,141,351
2021-03-13,0-19,1018,2725
2021-03-13,80-89,54,150
2021-03-13,20-29,2594,8233
2021-03-14,50-59,1950,6888
2021-03-14,30-39,4647,19968
2021-03-14,70-79,584,1726
2021-03-14,40-49,3049,11887
2021-03-14,60-69,1201,3590
2021-03-14,90+,69,146
2021-03-14,80-89,295,710
2021-03-14,20-29,6341,21968
2021-03-14,0-19,2757,6851
2021-03-15,40-49,3006,12169
2021-03-15,60-69,1080,3894
2021-03-15,50-59,1860,7183
2021-03-15,0-19,2405,7377
2021-03-15,80-89,271,856
2021-03-15,20-29,6145,23580
2021-03-15,90+,57,205
2021-03-15,30-39,4582,20651
2021-03-15,70-79,516,1999
2021-03-16,0-19,2327,7246
2021-03-16,50-59,1691,6487
2021-03-16,80-89,261,770
2021-03-16,20-29,5764,22255
2021-03-16,60-69,1008,3462
2021-03-16,30-39,4107,18348
2021-03-16,90+,76,148
2021-03-16,70-79,532,1734
2021-03-16,40-49,2817,10818
2021-03-17,20-29,5282,17881
2021-03-17,50-59,1690,5619
2021-03-17,0-19,2135,5755
2021-03-17,90+,47,159
2021-03-17,30-39,3989,15015
2021-03-17,40-49,2636,9083
2021-03-17,70-79,470,1612
2021-03-17,80-89,235,713
2021-03-17,60-69,1003,2927
2021-03-18,0-19,1877,5606
2021-03-18,80-89,233,655
2021-03-18,20-29,4663,17042
2021-03-18,50-59,1575,5641
2021-03-18,60-69,933,2915
2021-03-18,40-49,2472,9489
2021-03-18,90+,69,136
2021-03-18,30-39,3648,15121
2021-03-18,70-79,446,1298
2021-03-19,20-29,1912,8270
2021-03-19,80-89,75,280
2021-03-19,0-19,769,2505
2021-03-19,30-39,1740,7597
2021-03-19,40-49,1117,4599
2021-03-19,90+,<15,44
2021-03-19,70-79,141,548
2021-03-19,60-69,318,1239
2021-03-19,50-59,668,2746
2021-03-20,80-89,47,105
2021-03-20,90+,<15,<15
2021-03-20,0-19,671,1867
2021-03-20,50-59,473,1457
2021-03-20,20-29,1782,4933
2021-03-20,30-39,1063,3399
2021-03-20,70-79,100,303
2021-03-20,40-49,763,2483
2021-03-20,60-69,237,621
2021-03-21,20-29,3969,11665
2021-03-21,80-89,175,567
2021-03-21,0-19,1644,4247
2021-03-21,90+,50,105
2021-03-21,30-39,2964,10426
2021-03-21,70-79,382,1056
2021-03-21,50-59,1214,3790
2021-03-21,60-69,745,2143
2021-03-21,40-49,1819,6272
2021-03-22,40-49,1881,6266
2021-03-22,90+,72,133
2021-03-22,30-39,3031,10308
2021-03-22,70-79,415,1068
2021-03-22,20-29,4114,11918
2021-03-22,0-19,1541,4239
2021-03-22,80-89,158,552
2021-03-22,50-59,1203,3684
2021-03-22,60-69,733,1997
2021-03-23,80-89,25,91
2021-03-23,40-49,386,1202
2021-03-23,90+,<15,19
2021-03-23,60-69,178,293
2021-03-23,70-79,53,171
2021-03-23,50-59,260,653
2021-03-23,30-39,558,1769
2021-03-23,20-29,815,2165
2021-03-23,0-19,289,776
2021-03-24,70-79,302,1265
2021-03-24,30-39,2348,11433
2021-03-24,60-69,549,2352
2021-03-24,40-49,1615,6935
2021-03-24,90+,44,141
2021-03-24,0-19,1274,4851
2021-03-24,20-29,3441,14393
2021-03-24,80-89,180,673
2021-03-24,50-59,914,4116
2021-03-25,70-79,273,777
2021-03-25,50-59,921,3209
2021-03-25,30-39,2295,8670
2021-03-25,90+,44,99
2021-03-25,40-49,1482,5449
