first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1050,34.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,854,35.0,0.0
2020-03-15,2020-03-21,20-24,זכר,682,100.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,611,35.0,0.0
2020-03-15,2020-03-21,25-29,זכר,588,52.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,722,48.0,0.0
2020-03-15,2020-03-21,30-34,זכר,621,55.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,687,35.0,0.0
2020-03-15,2020-03-21,35-39,זכר,535,47.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,516,26.0,0.0
2020-03-15,2020-03-21,40-44,זכר,414,32.0,0.0
2020-03-15,2020-03-21,40-44,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,444,16.0,0.0
2020-03-15,2020-03-21,45-49,זכר,338,35.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,394,<15,0.0
2020-03-15,2020-03-21,50-54,זכר,278,31.0,0.0
2020-03-15,2020-03-21,50-54,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,378,23.0,0.0
2020-03-15,2020-03-21,55-59,זכר,199,26.0,0.0
2020-03-15,2020-03-21,55-59,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,342,24.0,0.0
2020-03-15,2020-03-21,60-64,זכר,231,19.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,299,23.0,0.0
2020-03-15,2020-03-21,65-69,זכר,263,32.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,232,<15,0.0
2020-03-15,2020-03-21,70-74,זכר,200,27.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,151,16.0,0.0
2020-03-15,2020-03-21,75-79,זכר,117,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,91,<15,0.0
2020-03-15,2020-03-21,80+,זכר,193,<15,<15
2020-03-15,2020-03-21,80+,נקבה,236,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,223,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,46,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,228,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2344,178.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,25,<15,0.0
2020-03-22,2020-03-28,0-19,נקבה,2103,154.0,0.0
2020-03-22,2020-03-28,20-24,זכר,1972,217.0,0.0
2020-03-22,2020-03-28,20-24,לא ידוע,47,0.0,0.0
2020-03-22,2020-03-28,20-24,נקבה,2052,154.0,0.0
2020-03-22,2020-03-28,25-29,זכר,1936,166.0,0.0
2020-03-22,2020-03-28,25-29,לא ידוע,23,<15,0.0
2020-03-22,2020-03-28,25-29,נקבה,2089,117.0,0.0
2020-03-22,2020-03-28,30-34,זכר,1764,137.0,0.0
2020-03-22,2020-03-28,30-34,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,30-34,נקבה,1750,113.0,0.0
2020-03-22,2020-03-28,35-39,זכר,1483,119.0,0.0
2020-03-22,2020-03-28,35-39,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,35-39,נקבה,1491,81.0,0.0
2020-03-22,2020-03-28,40-44,זכר,1160,97.0,0.0
2020-03-22,2020-03-28,40-44,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,40-44,נקבה,1232,71.0,0.0
2020-03-22,2020-03-28,45-49,זכר,1011,126.0,0.0
2020-03-22,2020-03-28,45-49,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,45-49,נקבה,1162,81.0,0.0
2020-03-22,2020-03-28,50-54,זכר,767,113.0,0.0
2020-03-22,2020-03-28,50-54,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,50-54,נקבה,1101,102.0,0.0
2020-03-22,2020-03-28,55-59,זכר,740,148.0,0.0
2020-03-22,2020-03-28,55-59,לא ידוע,<15,<15,0.0
2020-03-22,2020-03-28,55-59,נקבה,971,77.0,0.0
2020-03-22,2020-03-28,60-64,זכר,851,120.0,<15
2020-03-22,2020-03-28,60-64,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,60-64,נקבה,913,81.0,0.0
2020-03-22,2020-03-28,65-69,זכר,668,93.0,0.0
2020-03-22,2020-03-28,65-69,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,65-69,נקבה,579,56.0,<15
2020-03-22,2020-03-28,70-74,זכר,449,69.0,<15
2020-03-22,2020-03-28,70-74,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,70-74,נקבה,420,43.0,0.0
2020-03-22,2020-03-28,75-79,זכר,283,44.0,<15
2020-03-22,2020-03-28,75-79,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,75-79,נקבה,232,20.0,<15
2020-03-22,2020-03-28,80+,זכר,447,38.0,<15
2020-03-22,2020-03-28,80+,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,80+,נקבה,679,36.0,<15
2020-03-22,2020-03-28,NULL,זכר,500,16.0,0.0
2020-03-22,2020-03-28,NULL,לא ידוע,166,<15,0.0
2020-03-22,2020-03-28,NULL,נקבה,380,<15,0.0
2020-03-29,2020-04-04,0-19,זכר,3322,347.0,0.0
2020-03-29,2020-04-04,0-19,לא ידוע,31,0.0,0.0
2020-03-29,2020-04-04,0-19,נקבה,2930,304.0,0.0
2020-03-29,2020-04-04,20-24,זכר,4371,343.0,0.0
2020-03-29,2020-04-04,20-24,לא ידוע,25,0.0,0.0
2020-03-29,2020-04-04,20-24,נקבה,3900,238.0,0.0
2020-03-29,2020-04-04,25-29,זכר,3192,241.0,0.0
2020-03-29,2020-04-04,25-29,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,25-29,נקבה,2790,168.0,0.0
2020-03-29,2020-04-04,30-34,זכר,2873,198.0,0.0
2020-03-29,2020-04-04,30-34,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,30-34,נקבה,2567,113.0,0.0
2020-03-29,2020-04-04,35-39,זכר,2515,147.0,0.0
2020-03-29,2020-04-04,35-39,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,35-39,נקבה,2139,100.0,0.0
2020-03-29,2020-04-04,40-44,זכר,2022,177.0,0.0
2020-03-29,2020-04-04,40-44,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,40-44,נקבה,2011,119.0,0.0
2020-03-29,2020-04-04,45-49,זכר,1780,169.0,0.0
2020-03-29,2020-04-04,45-49,לא ידוע,<15,<15,0.0
2020-03-29,2020-04-04,45-49,נקבה,1978,108.0,0.0
2020-03-29,2020-04-04,50-54,זכר,1483,135.0,0.0
2020-03-29,2020-04-04,50-54,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,50-54,נקבה,1781,104.0,<15
2020-03-29,2020-04-04,55-59,זכר,1387,152.0,0.0
2020-03-29,2020-04-04,55-59,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,55-59,נקבה,1681,131.0,0.0
2020-03-29,2020-04-04,60-64,זכר,1365,151.0,0.0
2020-03-29,2020-04-04,60-64,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,60-64,נקבה,1344,108.0,0.0
2020-03-29,2020-04-04,65-69,זכר,1087,137.0,<15
2020-03-29,2020-04-04,65-69,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,65-69,נקבה,861,78.0,<15
2020-03-29,2020-04-04,70-74,זכר,744,97.0,<15
2020-03-29,2020-04-04,70-74,נקבה,596,55.0,<15
2020-03-29,2020-04-04,75-79,זכר,398,58.0,<15
2020-03-29,2020-04-04,75-79,לא ידוע,<15,0.0,0.0
