first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-29,2020-04-04,0-19,זכר,3330,348.0,0.0
2020-03-29,2020-04-04,0-19,לא ידוע,31,0.0,0.0
2020-03-29,2020-04-04,0-19,נקבה,2939,304.0,0.0
2020-03-29,2020-04-04,20-24,זכר,4369,342.0,0.0
2020-03-29,2020-04-04,20-24,לא ידוע,27,0.0,0.0
2020-03-29,2020-04-04,20-24,נקבה,3895,240.0,0.0
2020-03-29,2020-04-04,25-29,זכר,3192,241.0,0.0
2020-03-29,2020-04-04,25-29,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,25-29,נקבה,2796,167.0,0.0
2020-03-29,2020-04-04,30-34,זכר,2877,198.0,0.0
2020-03-29,2020-04-04,30-34,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,30-34,נקבה,2567,113.0,0.0
2020-03-29,2020-04-04,35-39,זכר,2513,148.0,0.0
2020-03-29,2020-04-04,35-39,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,35-39,נקבה,2147,102.0,0.0
2020-03-29,2020-04-04,40-44,זכר,2019,176.0,0.0
2020-03-29,2020-04-04,40-44,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,40-44,נקבה,2017,119.0,0.0
2020-03-29,2020-04-04,45-49,זכר,1782,169.0,0.0
2020-03-29,2020-04-04,45-49,לא ידוע,<15,<15,0.0
2020-03-29,2020-04-04,45-49,נקבה,1968,107.0,0.0
2020-03-29,2020-04-04,50-54,זכר,1473,135.0,0.0
2020-03-29,2020-04-04,50-54,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,50-54,נקבה,1781,104.0,<15
2020-03-29,2020-04-04,55-59,זכר,1393,153.0,0.0
2020-03-29,2020-04-04,55-59,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,55-59,נקבה,1682,131.0,0.0
2020-03-29,2020-04-04,60-64,זכר,1361,151.0,0.0
2020-03-29,2020-04-04,60-64,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,60-64,נקבה,1342,108.0,0.0
2020-03-29,2020-04-04,65-69,זכר,1084,136.0,<15
2020-03-29,2020-04-04,65-69,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,65-69,נקבה,856,78.0,<15
2020-03-29,2020-04-04,70-74,זכר,752,98.0,<15
2020-03-29,2020-04-04,70-74,נקבה,602,57.0,<15
2020-03-29,2020-04-04,75-79,זכר,394,58.0,<15
2020-03-29,2020-04-04,75-79,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,75-79,נקבה,360,39.0,0.0
2020-03-29,2020-04-04,80+,זכר,830,82.0,<15
2020-03-29,2020-04-04,80+,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,80+,נקבה,1064,99.0,<15
2020-03-29,2020-04-04,NULL,זכר,633,29.0,0.0
2020-03-29,2020-04-04,NULL,לא ידוע,148,<15,0.0
2020-03-29,2020-04-04,NULL,נקבה,611,23.0,0.0
2020-04-05,2020-04-11,0-19,זכר,3042,337.0,<15
2020-04-05,2020-04-11,0-19,לא ידוע,40,0.0,0.0
2020-04-05,2020-04-11,0-19,נקבה,2393,261.0,0.0
2020-04-05,2020-04-11,20-24,זכר,2964,221.0,0.0
2020-04-05,2020-04-11,20-24,לא ידוע,38,<15,0.0
2020-04-05,2020-04-11,20-24,נקבה,2472,171.0,0.0
2020-04-05,2020-04-11,25-29,זכר,2578,158.0,0.0
2020-04-05,2020-04-11,25-29,לא ידוע,26,<15,0.0
2020-04-05,2020-04-11,25-29,נקבה,2018,98.0,0.0
2020-04-05,2020-04-11,30-34,זכר,2275,110.0,0.0
2020-04-05,2020-04-11,30-34,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,30-34,נקבה,1743,77.0,0.0
2020-04-05,2020-04-11,35-39,זכר,1785,86.0,<15
2020-04-05,2020-04-11,35-39,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,35-39,נקבה,1434,65.0,0.0
2020-04-05,2020-04-11,40-44,זכר,1480,83.0,0.0
2020-04-05,2020-04-11,40-44,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,40-44,נקבה,1403,74.0,0.0
2020-04-05,2020-04-11,45-49,זכר,1433,87.0,0.0
2020-04-05,2020-04-11,45-49,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,45-49,נקבה,1390,78.0,0.0
2020-04-05,2020-04-11,50-54,זכר,1276,81.0,0.0
2020-04-05,2020-04-11,50-54,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,50-54,נקבה,1373,82.0,<15
2020-04-05,2020-04-11,55-59,זכר,1183,82.0,0.0
2020-04-05,2020-04-11,55-59,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,55-59,נקבה,1208,75.0,0.0
2020-04-05,2020-04-11,60-64,זכר,1054,80.0,<15
2020-04-05,2020-04-11,60-64,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,60-64,נקבה,994,54.0,<15
2020-04-05,2020-04-11,65-69,זכר,837,60.0,<15
2020-04-05,2020-04-11,65-69,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,65-69,נקבה,753,38.0,<15
2020-04-05,2020-04-11,70-74,זכר,648,40.0,<15
2020-04-05,2020-04-11,70-74,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,70-74,נקבה,618,41.0,<15
2020-04-05,2020-04-11,75-79,זכר,441,25.0,<15
2020-04-05,2020-04-11,75-79,נקבה,452,27.0,<15
2020-04-05,2020-04-11,80+,זכר,940,49.0,<15
2020-04-05,2020-04-11,80+,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,80+,נקבה,1746,99.0,25.0
2020-04-05,2020-04-11,NULL,זכר,608,26.0,0.0
2020-04-05,2020-04-11,NULL,לא ידוע,207,<15,0.0
2020-04-05,2020-04-11,NULL,נקבה,469,20.0,0.0
2020-04-12,2020-04-18,0-19,זכר,3734,322.0,0.0
2020-04-12,2020-04-18,0-19,לא ידוע,35,0.0,0.0
2020-04-12,2020-04-18,0-19,נקבה,3150,365.0,0.0
2020-04-12,2020-04-18,20-24,זכר,3497,188.0,0.0
2020-04-12,2020-04-18,20-24,לא ידוע,18,0.0,0.0
2020-04-12,2020-04-18,20-24,נקבה,2721,166.0,0.0
2020-04-12,2020-04-18,25-29,זכר,3214,115.0,0.0
2020-04-12,2020-04-18,25-29,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,25-29,נקבה,2671,97.0,0.0
2020-04-12,2020-04-18,30-34,זכר,2801,84.0,0.0
2020-04-12,2020-04-18,30-34,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,30-34,נקבה,2347,73.0,0.0
2020-04-12,2020-04-18,35-39,זכר,2358,76.0,0.0
2020-04-12,2020-04-18,35-39,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,35-39,נקבה,2164,56.0,0.0
2020-04-12,2020-04-18,40-44,זכר,2071,65.0,0.0
2020-04-12,2020-04-18,40-44,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,40-44,נקבה,2119,68.0,<15
2020-04-12,2020-04-18,45-49,זכר,1953,78.0,0.0
2020-04-12,2020-04-18,45-49,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,45-49,נקבה,2236,88.0,0.0
