VaccinationDate,age_group,first_dose,second_dose
2021-01-08,0-19,1760,0
2021-01-08,80-89,2870,0
2021-01-08,20-29,5564,0
2021-01-08,60-69,9908,0
2021-01-09,90+,360,0
2021-01-09,80-89,1583,0
2021-01-09,60-69,5538,0
2021-01-09,40-49,12664,0
2021-01-09,50-59,10041,0
2021-01-09,30-39,6600,0
2021-01-09,70-79,3359,0
2021-01-09,20-29,3330,0
2021-01-09,0-19,935,0
2021-01-10,60-69,5679,1238
2021-01-10,30-39,5658,946
2021-01-10,70-79,3569,355
2021-01-10,40-49,9075,1526
2021-01-10,90+,384,<15
2021-01-10,80-89,1797,45
2021-01-10,0-19,618,<15
2021-01-10,20-29,3146,265
2021-01-10,50-59,7585,1568
2021-01-11,50-59,5115,3019
2021-01-11,60-69,2677,5441
2021-01-11,70-79,1744,3801
2021-01-11,40-49,5212,2927
2021-01-11,30-39,3219,2128
2021-01-11,90+,213,135
2021-01-11,80-89,917,926
2021-01-11,20-29,1740,738
2021-01-11,0-19,224,34
2021-01-12,50-59,7578,3924
2021-01-12,20-29,2421,1203
2021-01-12,90+,192,391
2021-01-12,40-49,4366,3924
2021-01-12,60-69,3485,10906
2021-01-12,30-39,2859,2988
2021-01-12,70-79,1847,9354
2021-01-12,0-19,233,66
2021-01-12,80-89,896,2812
2021-01-13,30-39,5006,3583
2021-01-13,70-79,3345,16840
2021-01-13,40-49,7836,4729
2021-01-13,0-19,496,108
2021-01-13,20-29,3836,1769
2021-01-13,50-59,22880,5013
2021-01-13,60-69,6876,18299
2021-01-13,90+,256,1011
2021-01-13,80-89,1556,5159
2021-01-14,0-19,774,138
2021-01-14,80-89,1122,7172
2021-01-14,50-59,23246,5372
2021-01-14,60-69,5720,23039
2021-01-14,40-49,10076,5055
2021-01-14,90+,221,1303
2021-01-14,20-29,5532,1835
2021-01-14,30-39,7091,3681
2021-01-14,70-79,2496,21051
2021-01-15,0-19,546,99
2021-01-15,80-89,562,4353
2021-01-15,20-29,3155,694
2021-01-15,50-59,11788,2616
2021-01-15,70-79,1227,11942
2021-01-15,30-39,4636,1255
2021-01-15,40-49,5853,1975
2021-01-15,60-69,2686,12159
2021-01-15,90+,118,752
2021-01-16,20-29,2068,316
2021-01-16,0-19,449,55
2021-01-16,50-59,12540,1767
2021-01-16,40-49,7876,1235
2021-01-16,70-79,780,8978
2021-01-16,30-39,3308,679
2021-01-16,60-69,1864,9179
2021-01-16,90+,78,634
2021-01-16,80-89,364,3113
2021-01-17,0-19,1522,254
2021-01-17,80-89,1088,9986
2021-01-17,20-29,11307,2479
2021-01-17,70-79,2436,25489
2021-01-17,30-39,6663,4429
2021-01-17,90+,206,1927
2021-01-17,60-69,4913,26051
2021-01-17,40-49,17484,6222
2021-01-17,50-59,22795,7297
2021-01-18,80-89,896,12957
2021-01-18,20-29,16628,4635
2021-01-18,90+,158,2744
2021-01-18,30-39,7205,7937
2021-01-18,70-79,2017,31961
2021-01-18,60-69,4205,35322
2021-01-18,40-49,19470,11321
2021-01-18,0-19,1952,553
2021-01-18,50-59,17007,12640
2021-01-19,0-19,1740,800
2021-01-19,40-49,24429,13480
2021-01-19,30-39,8950,9274
2021-01-19,70-79,2038,33998
2021-01-19,80-89,887,15427
2021-01-19,90+,217,4135
2021-01-19,60-69,4124,38339
2021-01-19,20-29,15040,6659
2021-01-19,50-59,15242,15274
